OBJECTID,org_name,Name,addrln1,addrln2,city,state,url,zip,link,latitude,longitude
60003,www.youseemore.com/pomona,Pomona Public Library,625 S. Garey Ave.,,Pomona,CA,www.youseemore.com/pomona,91766,http://egis3.lacounty.gov/lms/?p=61161,34.05376,-117.751222
60006,http://www.redondo.org/depts/library/default.asp,North Branch Library,2000 Artesia Blvd.,,Redondo Beach,CA,http://www.redondo.org/depts/library/default.asp,90278,http://egis3.lacounty.gov/lms/?p=61162,33.872706,-118.376869
60008,http://www.redondo.org/depts/library/default.asp,Redondo Beach Public Library,303 N. Pacific Coast Hwy.,,Redondo Beach,CA,http://www.redondo.org/depts/library/default.asp,90277,http://egis3.lacounty.gov/lms/?p=61163,33.845035,-118.387441
60010,crowellpubliclibrary.org,Crowell Public Library - City Of San Marino,1890 Huntington Dr.,,San Marino,CA,crowellpubliclibrary.org,91108,http://egis3.lacounty.gov/lms/?p=61164,34.118889,-118.112828
60012,www.sfslibrary.org,Santa Fe Springs City Library,11700 Telegraph Rd.,,Santa Fe Springs,CA,www.sfslibrary.org,90670,http://egis3.lacounty.gov/lms/?p=61165,33.946517,-118.084411
60014,www.sierramadre.lib.ca.us,City Of Sierra Madre Public Library,440 W. Sierra Madre Blvd.,,Sierra Madre,CA,www.sierramadre.lib.ca.us,91024,http://egis3.lacounty.gov/lms/?p=61166,34.161706,-118.061826
60018,www.whittierlibrary.org,Whittier Public Library - Whittwood Branch,10537 Santa Gertrudes Ave.,,Whittier,CA,www.whittierlibrary.org,90603,http://egis3.lacounty.gov/lms/?p=61168,33.940088,-117.993232
60020,www.whittierlibrary.org,Whittier Public Library,7344 S. Washington Ave.,,Whittier,CA,www.whittierlibrary.org,90602,http://egis3.lacounty.gov/lms/?p=61169,33.975151,-118.034795
60024,www.altadenalibrary.org,Bob Lucas Memorial Library And Literacy Center,2659 Lincoln Ave,,Altadena,CA,www.altadenalibrary.org,91001,http://egis3.lacounty.gov/lms/?p=61170,34.19130891,-118.1588845
60027,www.altadenalibrary.org,Altadena Library And Library  District Office,600 E. Mariposa St.,,Altadena,CA,www.altadenalibrary.org,91001,http://egis3.lacounty.gov/lms/?p=61171,34.189447,-118.137097
60029,www.pvld.org,Palos Verdes Library District - Miraleste Library,29089 Palos Verdes Dr E,,Rancho Palos Verdes,CA,www.pvld.org,90274,http://egis3.lacounty.gov/lms/?p=61172,33.75562548,-118.3283952
60031,www.pvld.org,Palos Verdes Library District - Malaga Cove Library,2400 Via Campesina,,Palos Verdes Estates,CA,www.pvld.org,90274,http://egis3.lacounty.gov/lms/?p=61173,33.798827,-118.389563
60033,www.pvld.org,City Of Palos Verdes Library District - Peninsula Center Library,701 Silver Spur Rd.,,Rolling Hills Estates,CA,www.pvld.org,90274,http://egis3.lacounty.gov/lms/?p=61174,33.77091,-118.370038
60706,www.ci.azusa.ca.us/library,Azusa City Library,729 N. Dalton Ave.,,Azusa,CA,www.ci.azusa.ca.us/library,91702,http://egis3.lacounty.gov/lms/?p=61388,34.134319,-117.905086
60709,www.lapl.org,Los Angeles Public Library - Alma Reaves Woods - Watts Branch,10205 Compton Ave.,,Los Angeles,CA,www.lapl.org,90002,http://egis3.lacounty.gov/lms/?p=61389,33.943847,-118.246428
60711,www.lapl.org,Los Angeles Public Library - Mark Twain Branch,9621 S. Figueroa St.,,Los Angeles,CA,www.lapl.org,90003,http://egis3.lacounty.gov/lms/?p=61390,33.948675,-118.282863
60713,www.lapl.org,Los Angeles Public Library - San Pedro Regional Branch,931 S. Gaffey St.,,San Pedro,CA,www.lapl.org,90731,http://egis3.lacounty.gov/lms/?p=61391,33.73549,-118.292486
60715,www.lapl.org,Los Angeles Public Library - Robertson Branch,1719 S. Robertson Blvd.,,Los Angeles,CA,www.lapl.org,90035,http://egis3.lacounty.gov/lms/?p=61392,34.048354,-118.385804
60717,www.lapl.org,Los Angeles Public Library - Jefferson - Vassie D. Wright Memorial Branch,2211 W. Jefferson Blvd.,,Los Angeles,CA,www.lapl.org,90018,http://egis3.lacounty.gov/lms/?p=61393,34.025695,-118.319242
60719,www.lapl.org,Los Angeles Public Library - Donald Bruce Kaufman Branch,11820 San Vicente Blvd.,,Los Angeles,CA,www.lapl.org,90049,http://egis3.lacounty.gov/lms/?p=61394,34.052813,-118.468621
60721,www.lapl.org,Los Angeles Public Library - Wilshire Branch,149 N Saint Andrews Pl,,Los Angeles,CA,www.lapl.org,90004,http://egis3.lacounty.gov/lms/?p=61395,34.07434662,-118.3115169
60723,www.lapl.org,Los Angeles Public Library - Washington Irving Branch,4117 W. Washington Blvd.,,Los Angeles,CA,www.lapl.org,90018,http://egis3.lacounty.gov/lms/?p=61396,34.040037,-118.32913
60725,www.lapl.org,Los Angeles Public Library - Vermont Square Branch,1201 W. 48th St.,,Los Angeles,CA,www.lapl.org,90037,http://egis3.lacounty.gov/lms/?p=61397,33.999722,-118.295962
