OBJECTID,FID2,NUMBER,LATITUDE,LONGITUDE,SITEATS,CITY_SITE,FACING,AREA,ADVERTISER
1204,4543,LA-4544,34.1019,-118.32526,SB  Argyle  NS  Hollywood -NW,L.A. Central,North,CD-12,MOM L.A.
1205,4549,LA-4550,34.07008,-118.2779,WB  Beverly Dr  FS  Benton Way -NW,L.A. Valley East,North,CD-12,MOM L.A.
1206,4565,LA-4566,34.12478,-118.26553,SB  Brunswick  FS  Los Feliz -SE,L.A. East,West,CD-12,MOM L.A.
1207,4572,LA-4573,34.11988,-118.22892,EB  Eagle Rock  NS  Verdugo/Ave. 40-SW,L.A. East,East,CD-12,MOM L.A.
1208,4603,LA-4604,34.10189,-118.29822,EB  Hollywood Bl  NS  Alexandria -SW,L.A. Valley East,East,CD-13,MOM L.A.
1209,4607,LA-4608,34.10183,-118.30472,WB  Hollywood Bl  NS  Harvard -NE,L.A. Valley East,South,CD-13,MOM L.A.
1210,4608,LA-4609,34.10168,-118.30078,EB  Hollywood Bl  NS  Normandie -SW,L.A. Valley East,East,CD-13,MOM L.A.
1211,4613,LA-4614,34.10081,-118.29136,EB  Hollywood Bl  FS  Vermont -SE,L.A. Valley East,West,CD-13,MOM L.A.
1212,4623,LA-4624,34.08359,-118.30941,WB Melrose FS western-NW,L.A. South,North,CD-13,MOM L.A.
1213,4628,LA-4629,34.0835,-118.29212,EB  Melrose  NS  Vermont -SW,L.A. South,East,CD-13,MOM L.A.
1214,4653,LA-4654,34.09063,-118.32255,EB  Santa Monica NS Gower-SW,L.A. Central,East,CD-13,MOM L.A.
1215,4666,LA-4667,34.09081,-118.28708,EB  Santa Monica NS Virgil-SW,L.A. South,East,CD-13,MOM L.A.
1216,4667,LA-4668,34.09062,-118.30941,EB  Santa Monica NS Western-SW,L.A. Central,East,CD-13,MOM L.A.
1217,4675,LA-4676,34.09817,-118.29805,WB  Sunset  NS  Alexandria -NE,L.A. Valley East,South,CD-13,MOM L.A.
1218,4678,LA-4679,34.07778,-118.26312,WB  Sunset  NS  Alvarado -NE,L.A. East,South,CD-13,MOM L.A.
1219,4679,LA-4680,34.07778,-118.26317,WB  Sunset  NS  Alvarado -NE,L.A. East,South,CD-13,MOM L.A.
1220,4685,LA-4686,34.09809,-118.33513,WB  Sunset  NS  Cherokee -NE,L.A. Central,South,CD-13,MOM L.A.
1221,4699,LA-4700,34.09808,-118.33843,WB  Sunset  NS  Highland Ave -NE,L.A. Central,South,CD-13,MOM L.A.
1222,4707,LA-4708,34.09092,-118.27898,WB  Sunset  NS  Lucille -NW,L.A. East,North,CD-13,MOM L.A.
1223,4746,LA-4747,34.0767,-118.29156,NB  Vermont  FS  Beverly -NE,L.A. South,South,CD-13,MOM L.A.
1224,4795,LA-4796,34.09772,-118.30935,SB  Western Ave FS  Sunset -SW,L.A. Central,East,CD-13,MOM L.A.
1225,4800,LA-4801,34.12379,-118.2251,EB York NS El Paso-SW,L.A. East,East,CD-13,MOM L.A.
1226,3362,LA-3363,34.03891,-118.46153,SB  Bundy  NS  Idaho Ave. -NW,L.A. South,North,CD-10,MOM L.A.
1227,3393,LA-3394,34.00797,-118.43669,NB  Centinela  NS  Charnock -NE,L.A. South,South,CD-11,Randy Freeman
1228,3397,LA-3398,33.99074,-118.42078,SB  Centinela  FS  Culver -SW,L.A. South,East,CD-11,MOM L.A.
1229,3406,LA-3407,33.98567,-118.41406,NB  Centinela  FS  Marina Freeway -NE,L.A. South,South,CD-11,Action Investment Realty
1230,3435,LA-3436,34.01701,-118.42016,WB  Charnock  NS  Sepulveda -NE,L.A. South,South,CD-11,MOM L.A.
1231,3446,LA-3447,33.99116,-118.42063,EB  Culver  FS  Centinela -SE,L.A. South,West,CD-11,Dr. Robert Nolan
1232,3448,LA-3449,33.99509,-118.4177,NB  Culver  FS  Inglewood -NE,L.A. South,South,CD-11,MOM L.A.
1233,3470,LA-3471,33.97478,-118.42382,EB  Jefferson  FS  Alla Rd -SE,L.A. South,West,CD-11,MOM L.A.
1234,3476,LA-3477,33.9816,-118.40886,WB  Jefferson  NS  Centinela -NE,L.A. South,South,CD-11,Dr. Robert Nolan
1235,3557,LA-3558,33.99721,-118.45961,SB  Lincoln Blvd NS Palms -NW,L.A. South,North,CD-11,MOM L.A.
1236,3597,LA-3598,33.96001,-118.38367,WB  Manchester  NS  Belford Ave-NE,L.A. South,South,CD-11,MOM L.A.
1237,3617,LA-3618,33.95954,-118.4353,EB  Manchester  NS  Gulana -SW,L.A. South,East,CD-11,Taylor Whitley
1238,3626,LA-3627,33.96168,-118.37069,WB Manchester  FS La Cienega -NW,L.A. South,North,CD-11,MOM L.A.
1239,3639,LA-3640,33.95971,-118.40963,EB  Manchester  FS  McConnell Ave-SE,L.A. South,West,CD-11,TimberlandTree Company 310.641.TREE
1240,3656,LA-3657,33.95975,-118.38742,EB  Manchester  NS  Wiley Post Ave-SW,L.A. South,East,CD-11,MOM L.A.
1241,3683,LA-3684,34.02279,-118.43823,EB  National  FS  Barrington -SE,L.A. South,West,CD-11,Jack Bitton
1242,3699,LA-3700,34.03151,-118.45915,WB  Olympic  NS  Centinela -NE,L.A. South,South,CD-11,MOM L.A.
1243,3724,LA-3725,33.95943,-118.44435,NB  Pershing  FS  Fowling -NE,L.A. South,South,CD-11,MOM L.A.
1244,3831,LA-3832,34.01876,-118.40662,EB Venice FS Overland Blvd-SE,L.A. Central,West,CD-11,MOM L.A.
1245,3839,LA-3840,33.99985,-118.44163,WB  Venice  FS  Beethoven St-NW,L.A. South,North,CD-11,MOM L.A.
1246,3840,LA-3841,33.99987,-118.4416,WB  Venice  FS  Beethoven St-NW,L.A. South,North,CD-11,MOM L.A.
1247,3865,LA-3866,34.01149,-118.42006,WB  Venice  FS  Sawtelle Blvd-NW,L.A. South,North,CD-11,MOM L.A.
1248,3867,LA-3868,33.99085,-118.45939,WB  Venice  FS  Shell Ave. -NW,L.A. South,North,CD-11,MOM L.A.
1249,3877,LA-3878,33.98759,-118.46474,EB  Venice Bl. South  NS  Washington -SW,L.A. South,East,CD-11,MOM L.A.
1250,3882,LA-3883,33.98808,-118.45246,WB  Washington  FS  Abbott Kinney -NW,L.A. South,North,CD-11,MOM L.A.
1251,3894,LA-3895,33.98026,-118.46525,WB  Washington  NS  Strongs Pl -NE,L.A. South,South,CD-11,Diamond Foam & Fabrics
1252,3909,LA-3910,34.04432,-118.46721,WB  Wilshire  NS  Bundy Dr-NE,L.A. South,South,CD-11,Elyse Arbour
1253,3921,LA-3922,33.98845,-118.47067,WB  Windward  NS  Main -NE,L.A. South,South,CD-11,Diana Miller & Veronica Jones
1254,3944,LA-3945,34.30338,-118.50117,SB  Balboa  FS  Lisette -SW,L.A. South,East,CD-11,John Mazziotta
1255,3962,LA-3963,34.30711,-118.5028,SB  Balboa  NS  Orozco -NW,L.A. South,North,CD-11,MOM L.A.
1256,4008,LA-4009,34.19375,-118.50123,SB  Balboa  FS  Vanowen -SW,L.A. Valley West,East,CD-12,MOM L.A.
1257,4019,LA-4020,34.17218,-118.50751,EB  Burbank  FS  Aldea -SE,L.A. Valley West,West,CD-12,Dean Abston
1258,4042,LA-4043,34.24309,-118.56222,NB  Corbin  FS  Plummer -NE,L.A. Valley West,South,CD-12,MOM L.A.
1259,4061,LA-4062,34.2461,-118.58488,NB  De Soto  NS  Superior -SE,L.A. Valley West,West,CD-12,MOM L.A.
1260,4068,LA-4069,34.25767,-118.50192,WB  Devonshire  NS  Balboa -NE,L.A. South,South,CD-12,Collin Hicks
1261,4074,LA-4075,34.25738,-118.56272,WB  Devonshire  FS  Corbin -NW,L.A. Valley West,North,CD-12,Danny Ross
