OBJECTID,FID2,NUMBER,LATITUDE,LONGITUDE,SITEATS,CITY_SITE,FACING,AREA,ADVERTISER
1,663,LA-0664,34.19462,-118.58843,NB  De Soto  FS  Vanowen -NE,L.A. Valley West,South,CD-03,MOM L.A.
2,681,LA-0682,34.20065,-118.6234,SB  Fallbrook  FS  Sherman Way -SW,L.A. Valley West,East,CD-03,Jerry Gooze
3,682,LA-0683,34.20065,-118.6234,SB  Fallbrook  FS  Sherman Way -SW,L.A. Valley West,East,CD-03,Jerry Gooze
4,711,LA-0712,34.15238,-118.60487,EB  Mulholland D  NS  Topanga -SW,L.A. Valley West,East,CD-03,MOM L.A.
5,771,LA-0772,34.21597,-118.53582,NB  Reseda Blvd FS  Strathern -NE,L.A. Valley West,South,CD-03,MOM L.A.
6,774,LA-0775,34.19457,-118.53592,NB  Reseda Blvd FS  Vanowen -NE,L.A. Valley West,South,CD-03,MOM L.A.
7,784,LA-0785,34.22005,-118.5801,EB  Roscoe  NS  Mason -SW,L.A. Valley West,East,CD-03,Sean Sullivan
8,1505,LA-1506,34.15804,-118.37023,NB  Vineland  FS  Camarillo -NE,L.A. Valley East,South,CD-04,MOM L.A.
9,1542,LA-1543,34.06147,-118.31958,EB  Wilshire  FS  Dunsmuir -SE,L.A. Central,West,CD-04,MOM L.A.
10,1548,LA-1549,34.06147,-118.31958,EB  Wilshire  NS  La Brea -SW,L.A. Central,East,CD-04,Diamond Foam & Fabrics
11,1551,LA-1552,34.06147,-118.31958,WB  Wilshire  FS  Lorraine -NW,L.A. Central,North,CD-04,MOM L.A.
12,1563,LA-1564,34.06505,-118.31414,SB  Wilton Pl.  FS  3rd Street -SW,L.A. Central,East,CD-04,MOM L.A.
13,1588,LA-1589,34.07271,-118.36978,WB  3rd St NS  Sweetzer Ave-NE,L.A. Central,South,CD-04,MOM L.A.
14,2352,LA-2353,34.23452,-118.37167,SB  Tuxford  NS  Glenoaks-NW,L.A. Valley East,North,CD-06,MOM L.A.
15,2364,LA-2365,34.22524,-118.44868,NB  Van Nuys Blvd FS Chase-NE,L.A. Valley West,South,CD-06,MOM L.A.
16,2370,LA-2371,34.24384,-118.45039,SB  Van Nuys Blvd NS Novice-NW,L.A. Valley West,North,CD-06,MOM L.A.
17,2390,LA-2391,34.19384,-118.48392,EB  Vanowen  NS  Woodley -SW,L.A. Valley West,East,CD-06,MOM L.A.
18,3201,LA-3202,34.04763,-118.32334,WB  Pico  NS  Norton -NE,L.A. South,South,CD-10,MOM L.A.
19,3212,LA-3213,34.05016,-118.34447,EB  San Vicente  NS  La Brea -SW,L.A. South,East,CD-10,MOM L.A.
20,3214,LA-3215,34.02569,-118.39513,WB Venice NS  Bagley Ave-NE,L.A. Central,South,CD-10,MOM L.A.
21,3240,LA-3241,34.03759,-118.37409,WB  Venice  NS  Cadillac -NE,L.A. South,South,CD-10,MOM L.A.
22,3245,LA-3246,34.04494,-118.35373,WB  Venice  NS  Cochran -NE,L.A. South,South,CD-10,MOM L.A.
23,3260,LA-3261,34.03532,-118.37748,EB Venice  FS La Cienega -SE,L.A. South,West,CD-10,MOM L.A.
24,3278,LA-3279,34.06004,-118.29154,NB  Vermont  FS  7th St. -NE,L.A. Central,South,CD-10,MOM L.A.
25,4071,LA-4072,34.25743,-118.50191,EB  Devonshire  FS  Balboa -SE,L.A. South,West,CD-12,MOM L.A.
26,4087,LA-4088,34.25756,-118.48893,WB  Devonshire  NS  Gothic -NE,L.A. South,South,CD-12,MOM L.A.
27,4106,LA-4107,34.25714,-118.2802,EB  Devonshire  NS  Mason -SW,L.A. Valley East,East,CD-12,David Proctor
28,4117,LA-4118,34.25737,-118.56622,WB  Devonshire  NS  Oakdale -NE,L.A. Valley West,South,CD-12,ReMAX:OLSON
29,4866,LA-4867,34.14279,-118.22453,WB  Colorado  FS  Broadway -NW,L.A. East,North,CD-13,MOM L.A.
30,4946,LA-4947,34.01877,-118.1952,WB  Olympic  NS  Los Palos -NE,L.A. East,South,CD-14,MOM L.A.
31,4947,LA-4948,34.02598,-118.2322,EB  Olympic  NS  Mateo -SW,L.A. East,East,CD-14,MOM L.A.
32,4961,LA-4962,34.03439,-118.21568,NB  Soto  FS  Whittier -NE,L.A. East,South,CD-14,MOM L.A.
33,4963,LA-4964,34.05011,-118.21512,NB  State  FS  Cesar Chavez -NE,L.A. East,South,CD-14,MOM L.A.
34,4972,LA-4973,34.05886,-118.23233,SB  Vignes  FS  Bauchet -SW,L.A. East,East,CD-14,Central Jail Bail Bonds
35,4997,LA-4998,34.12066,-118.20264,WB  York  NS  Ave. 52 -NE,L.A. East,South,CD-14,MOM L.A.
36,5002,LA-5003,34.13286,-118.19934,WB  Yosemite  NS  Floristan -NE,L.A. East,South,CD-14,MOM L.A.
37,5033,LA-5034,33.72168,-118.29946,WB  25th St FS  Alma -NW,L.A. Valley East,North,CD-14,MOM L.A.
38,5041,LA-5042,33.73795,-118.28551,WB  7th St NS  Mesa -NE,L.A. Valley East,South,CD-14,MOM L.A.
39,5049,LA-5050,33.78106,-118.24123,EB  Anaheim  FS  Henry Ford -SE,L.A. South Bay,West,CD-14,MOM L.A.
40,5073,LA-5074,33.83137,-118.30874,EB  Carson  FS  Western -SE,L.A. South Bay,West,CD-14,Action Investment Realty
41,5074,LA-5075,33.83136,-118.30876,EB  Carson  FS  Western -SE,L.A. South Bay,West,CD-14,The Swedish Car Clinic
42,5096,LA-5097,33.8818,-118.28729,WB  Gardena  FS  Hoover -NW,L.A. South Bay,North,CD-15,MOM L.A.
43,5112,LA-5113,33.79042,-118.29738,NB  Normandie  FS  Pacific Coast Highway -NE,L.A. Valley East,South,CD-15,T-Shirt Wholesales Outlet
44,5142,LA-5143,33.79109,-118.24791,WB  Pacific Coast Hwy NS Watson-NE,L.A. South Bay,South,CD-15,MOM L.A.
45,5153,LA-5154,33.73401,-118.2879,NB  Pacific  NS  11th St. -SE,L.A. Valley East,West,CD-15,MOM L.A.
46,5154,LA-5155,33.73084,-118.28808,SB  Pacific  NS  15th St. -NW,L.A. Valley East,North,CD-15,Community Choice
47,5155,LA-5156,33.72902,-118.28808,SB  Pacific  NS  17th St. -NW,L.A. Valley East,North,CD-15,MOM L.A.
48,5156,LA-5157,33.72906,-118.28808,SB  Pacific  NS  17th St. -NW,L.A. Valley East,North,CD-15,MOM L.A.
49,5213,LA-5214,33.72687,-118.31108,NB  Western Ave NS  19th St. -SE,L.A. Valley East,West,CD-15,Catherine Bennson
50,5265,LA-5266,34.15752,-118.45279,EB 101 Fwy S Ent @ Van Nuys -Ramp,L.A. Valley West, ,CD-15,Amir Sole
51,5278,LA-5279,34.27618,-118.37816,WB Foothill  NS Osborne -NE,L.A. South,South,CD-15,Catalina Paints
52,5285,LA-5286,34.2012,-118.60587,NB Topanga Canyon FS Sherman Way-NE,L.A. Valley West,South,CD-15,Catalina Paints
53,5296,LA-5297,34.14341,-118.4076,WB Ventura Blvd @ 12605 Blk-NS,L.A. Valley East,North-East,CD-15,Gail Steinberg
54,698,LA-0699,34.15067,-118.62473,EB  Mulholland D  NS  Coloma -SW,L.A. Valley West,East,CD-03,MOM L.A.
55,703,LA-0704,34.14967,-118.62027,EB  Mulholland D  NS  Flamingo -SW,L.A. Valley West,East,CD-03,Enola Burrell
56,706,LA-0707,34.15645,-118.63462,EB  Mulholland Dr FS  Spielberg -SE,L.A. Valley West,West,CD-03,Joanie Louis
57,714,LA-0715,34.15128,-118.62678,WB  Mulholland D  NS  Willens -NE,L.A. Valley West,South,CD-03,MOM L.A.
58,738,LA-0739,34.1793,-118.60213,EB  Oxnard  FS  Owensmouth -SE,L.A. Valley West,West,CD-03,Warner Center Condominiums
59,739,LA-0740,34.17925,-118.59247,EB  Oxnard  FS  Variel -SE,L.A. Valley West,West,CD-03,MOM L.A.
60,749,LA-0750,34.17402,-118.5361,NB  Reseda Blvd FS  101 Freeway -NE,L.A. Valley West,South,CD-03,Accessibile Health Care
61,757,LA-0758,34.18408,-118.53612,SB  Reseda Blvd NS  Erwin -NW,L.A. Valley West,North,CD-03,MOM L.A.
62,1515,LA-1516,34.0736,-118.30906,NB  Western Ave NS  1st St. -SE,L.A. South,West,CD-04,MOM L.A.
63,1525,LA-1526,34.06554,-118.30917,SB  Western Ave NS  5th St. -NW,L.A. South,North,CD-04,Chris Nam
64,1534,LA-1535,34.08046,-118.30925,SB  Western Ave NS  Maplewood -NW,L.A. South,North,CD-04,MOM L.A.
65,1538,LA-1539,34.06147,-118.31958,EB  Wilshire  FS  Cloverdale -SE,L.A. Central,West,CD-04,MOM L.A.
66,1558,LA-1559,34.06147,-118.31958,WB  Wilshire  FS  Ridgeley -NW,L.A. Central,North,CD-04,MOM L.A.
67,1576,LA-1577,34.06885,-118.34377,EB  3rd St FS  La Brea -SE,L.A. Central,West,CD-04,Diamond Foam & Fabrics
68,2354,LA-2355,34.22461,-118.38466,EB  Tuxford  FS  Telfair -SE,L.A. Valley East,West,CD-06,MOM L.A.
69,2360,LA-2361,34.2518,-118.44187,NB  Van Nuys Blvd FS  Beachy-SW,L.A. Valley East,East,CD-06,New Star Active Wear
70,2367,LA-2368,34.22444,-118.44872,NB  Van Nuys Blvd NS  Chase -SE,L.A. Valley West,West,CD-06,MOM L.A.
71,2374,LA-2375,34.24399,-118.45011,NB  Van Nuys Blvd FS Plummer/Woodman-NE,L.A. Valley West,South,CD-06,MOM L.A.
72,2387,LA-2388,34.19405,-118.38365,WB  Vanowen  FS  Beck -NW,L.A. Valley East,North,CD-06,Catalina Paints
73,3209,LA-3210,34.02171,-118.36904,WB  Rodeo  NS  Clyde -NE,L.A. South,South,CD-10,Scarlet Shorter
74,3254,LA-3255,34.04394,-118.35825,EB  Venice  FS  Hauser -SE,L.A. South,West,CD-10,MOM L.A.
75,3290,LA-3291,34.03456,-118.36966,WB  Washington  NS  Fairfax -NE,L.A. South,South,CD-10,MOM L.A.
76,4075,LA-4076,34.25738,-118.56272,WB  Devonshire  FS  Corbin -NW,L.A. Valley West,North,CD-12,MOM L.A.
77,4084,LA-4085,34.25718,-118.5314,EB  Devonshire  FS  Etiwanda -SE,L.A. Valley West,West,CD-12,S & H Bail Bonds
78,4085,LA-4086,34.25713,-118.6101,EB  Devonshire  FS  Farralone -SE,L.A. Valley West,West,CD-12,Jeff Black
79,4098,LA-4099,34.25718,-118.52762,EB  Devonshire  NS  Lindley -SW,L.A. Valley West,East,CD-12,MOM L.A.
80,4101,LA-4102,34.25766,-118.50651,WB  Devonshire  FS  Louise -NW,L.A. Valley West,North,CD-12,Blooming Smiles
81,4877,LA-4878,34.13819,-118.1874,EB  Colorado  FS  Figueroa -SE,L.A. East,West,CD-14,MOM L.A.
82,4881,LA-4882,34.13913,-118.2116,EB  Colorado  FS  Maywood -SE,L.A. East,West,CD-14,MOM L.A.
83,4885,LA-4886,34.14209,-118.22294,EB  Colorado  NS  Sierra Villa -SW,L.A. East,East,CD-14,MOM L.A.
84,4899,LA-4900,34.13515,-118.21518,NB  Eagle Rock  FS  Yosemite -NE,L.A. East,South,CD-14,MOM L.A.
85,4902,LA-4903,34.07782,-118.17827,NB  Eastern  NS  Lombardy -SE,L.A. East,West,CD-14,MOM L.A.
86,4916,LA-4917,34.13671,-118.18812,NB  Figueroa  NS  La Loma -SE,L.A. East,West,CD-14,MOM L.A.
87,4920,LA-4921,34.02157,-118.20483,SB  Lorena  NS  8th St. -NW,L.A. East,North,CD-14,MOM L.A.
88,4944,LA-4945,34.01887,-118.19225,WB  Olympic  FS  Indiana -NW,L.A. East,North,CD-14,MOM L.A.
89,5020,LA-5021,33.92363,-118.25464,EB  120th St NS  Central -SW,L.A. South Bay,East,CD-14,MOM L.A.
90,5028,LA-5029,33.74342,-118.29698,WB  1st  St FS  Meyler St. -NW,L.A. Valley East,North,CD-14,MOM L.A.
91,5044,LA-5045,33.9532,-118.23995,EB  92nd St NS  Banderas St-SW,L.A. South Bay,East,CD-14,MOM L.A.
92,5060,LA-5061,33.79887,-118.26406,SB  Avalon  FS  Lomita -SW,L.A. South Bay,East,CD-14,MOM L.A.
93,5068,LA-5069,33.79558,-118.2638,SB  Avalon  NS  Q St. -NW,L.A. South Bay,North,CD-14,MOM L.A.
94,5072,LA-5073,33.93808,-118.27799,NB  Broadway  NS  108th St. -SE,L.A. South Bay,West,CD-14,MOM L.A.
95,5088,LA-5089,33.72852,-118.29222,NB  Gaffey  NS  17th St. -SE,L.A. Valley East,West,CD-15,MOM L.A.
96,5098,LA-5099,33.88167,-118.29107,WB  Gardena  NS  Vermont -NE,L.A. South Bay,South,CD-15,MOM L.A.
97,5119,LA-5120,33.78931,-118.30137,EB  Pacific Coast Hwy NS  Bell Ponte-SW,L.A. Valley East,East,CD-15,MOM L.A.
98,5144,LA-5145,33.78939,-118.30721,EB  Pacific Coast Hwy FS  Western -SE,L.A. Valley East,West,CD-15,The Office
99,5161,LA-5162,33.74316,-118.28782,NB  Pacific  NS  1st St. -SE,L.A. Valley East,West,CD-15,MOM L.A.
100,5168,LA-5169,33.71892,-118.28803,SB  Pacific  NS  28th St. -NW,L.A. Valley East,North,CD-15,MOM L.A.
101,5170,LA-5171,33.71508,-118.28784,NB  Pacific  NS  32nd St. -SE,L.A. Valley East,West,CD-15,MOM L.A.
102,5187,LA-5188,33.90181,-118.2912,EB  Rosecrans  FS  Vermont -SE,L.A. South Bay,West,CD-15,Western Loan & Jewelry
103,5188,LA-5189,33.73832,-118.27922,SB  Sampson  FS  6th St. -SW,L.A. Valley East,East,CD-15,MOM L.A.
104,5219,LA-5220,33.79458,-118.30774,SB  Western Ave FS 253rd St-SW,L.A. South Bay,East,CD-15,MOM L.A.
105,5313,LA-5314,34.15756,-118.4532,EB 101 Fwy S Ent @ Van Nuys -Ramp,L.A. Valley West, ,CD-15,Teresa Gordon
106,5314,LA-5315,34.22171,-118.405,WB Roscoe NS Arleta-NE,L.A. Valley East,South,CD-15,Teresa Gordon
107,664,LA-0665,34.19462,-118.58843,SB  De Soto  FS  Vanowen -SW,L.A. Valley West,East,CD-03,MOM L.A.
108,670,LA-0671,34.21155,-118.62343,NB  Fallbrook  NS  Ingomar -SE,L.A. Valley West,West,CD-03,John Oddino
109,684,LA-0685,34.1937,-118.62385,SB  Fallbrook  FS  Vanowen -SW,L.A. Valley West,East,CD-03,Jerry Gooze
110,687,LA-0688,34.18655,-118.62335,NB  Fallbrook  FS  Victory -NE,L.A. Valley West,South,CD-03,MOM L.A.
111,710,LA-0711,34.15238,-118.60487,EB  Mulholland D  NS  Topanga -SW,L.A. Valley West,East,CD-03,Lisa Weber
112,719,LA-0720,34.18195,-118.581,NB  Owensmouth  FS  Erwin -NE,L.A. Valley West,South,CD-03,MOM L.A.
113,720,LA-0721,34.18195,-118.581,SB  Owensmouth  NS  Erwin -NW,L.A. Valley West,North,CD-03,MOM L.A.
114,722,LA-0723,34.18718,-118.60153,NB  Owensmouth  NS  Victory -SE,L.A. Valley West,West,CD-03,Warner Center Condominiums
115,744,LA-0745,34.17125,-118.60512,EB  Oxnard  NS  Vassar -SW,L.A. Valley West,East,CD-03,Simon Mills
116,767,LA-0768,34.20812,-118.53617,NB  Reseda Blvd NS  Saticoy -SE,L.A. Valley West,West,CD-03,Carlos Aguilera
117,782,LA-0783,34.21847,-118.5885,EB  Roscoe  NS  De Soto -SW,L.A. Valley West,East,CD-03,MOM L.A.
118,1532,LA-1533,34.08013,-118.30905,NB  Western Ave FS  Maplewood -NE,L.A. South,South,CD-04,MOM L.A.
119,1553,LA-1554,34.06147,-118.31958,EB  Wilshire  FS  Masselin -SE,L.A. Central,West,CD-04,MOM L.A.
120,1562,LA-1563,34.06507,-118.31414,SB  Wilton Pl.  FS  3rd Street -SW,L.A. Central,East,CD-04,MOM L.A.
121,1589,LA-1590,34.07518,-118.38137,EB  Alden Dr.  FS  George Burns -SE,L.A. Central,West,CD-04,MOM L.A.
122,2353,LA-2354,34.22261,-118.38745,EB  Tuxford  FS  Lankershim -SE,L.A. Valley East,West,CD-06,Teresa Gordon
123,2378,LA-2379,34.22171,-118.4487,NB  Van Nuys Blvd FS  Roscoe -NE,L.A. Valley West,South,CD-06,MOM L.A.
124,2381,LA-2382,34.23936,-118.45006,NB  Van Nuys Blvd FS Tupper-NE,L.A. Valley West,South,CD-06,MOM L.A.
125,2397,LA-2398,34.18658,-118.44027,EB  Victory  NS  Hazeltine -SW,L.A. Valley West,East,CD-06,Catalina Paints
126,3230,LA-3231,34.02043,-118.40365,EB Venice FS Motor-SE,L.A. South,West,CD-10,MOM L.A.
127,3246,LA-3247,34.04465,-118.32873,EB  Venice  NS  Crenshaw -SW,L.A. South,East,CD-10,MOM L.A.
128,3250,LA-3251,34.0399,-118.37006,WB  Venice  FS  Fairfax -NW,L.A. South,North,CD-10,MOM L.A.
129,3257,LA-3258,34.04579,-118.34508,EB  Venice  FS  La Brea -SE,L.A. South,West,CD-10,MOM L.A.
130,3264,LA-3265,34.02931,-118.38871,WB Venice  FS National Blvd-NW,L.A. Central,North,CD-10,MOM L.A.
131,3269,LA-3270,34.04646,-118.34074,EB  Venice  NS  Rimpau -SW,L.A. South,East,CD-10,Angel Bails Bonds
132,3283,LA-3284,34.05284,-118.29173,SB  Vermont  NS  Olympic -NW,L.A. South,North,CD-10,MOM L.A.
133,3293,LA-3294,34.04038,-118.34792,EB  Washington  NS  La Brea -SW,L.A. South,East,CD-10,Pacific Divorce & Bankruptcy
134,3298,LA-3299,34.03988,-118.33717,WB  Washington  NS  West -NE,L.A. South,South,CD-10,MOM L.A.
135,4080,LA-4081,34.25755,-118.51512,EB  Devonshire  FS  Encino -SE,L.A. Valley West,West,CD-12,MOM L.A.
136,4884,LA-4885,34.14086,-118.20369,WB  Colorado  NS  Mt. Royal -NE,L.A. East,South,CD-14,MOM L.A.
137,4912,LA-4913,34.10629,-118.1995,SB  Figueroa  FS  Ave. 52 -SW,L.A. East,East,CD-14,MOM L.A.
138,4950,LA-4951,34.1141,-118.18575,WB  Piedmont  NS  Figueroa -NE,L.A. East,South,CD-14,MOM L.A.
139,4952,LA-4953,34.04061,-118.21178,SB  Soto  NS  4th St. -NW,L.A. East,North,CD-14,MOM L.A.
140,4958,LA-4959,34.05301,-118.20384,NB  Soto  FS  Wabash -NE,L.A. East,South,CD-14,MOM L.A.
141,4970,LA-4971,34.12501,-118.2317,NB  Verdugo  NS  York -SE,L.A. East,West,CD-14,MOM L.A.
142,4993,LA-4994,34.12147,-118.20967,EB  York  NS  Ave. 50 -SW,L.A. East,East,CD-14,MOM L.A.
143,4998,LA-4999,34.11443,-118.18146,WB  York  FS  Ave. 64 -NW,L.A. East,North,CD-14,MOM L.A.
144,5031,LA-5032,33.74349,-118.3094,WB  1st  St NS  Western -NE,L.A. South Bay,South,CD-14,MOM L.A.
145,5042,LA-5043,33.73795,-118.28547,WB  7th St NS  Mesa -NE,L.A. Valley East,South,CD-14,MOM L.A.
146,5055,LA-5056,33.93587,-118.26506,NB  Avalon  FS  110th St. -NE,L.A. South Bay,South,CD-14,MOM L.A.
147,5071,LA-5072,33.79138,-118.29077,WB  Bixby  NS  Pacific Coast Highway -NE,L.A. Valley East,South,CD-14,T-Shirt Wholesales Outlet
148,5079,LA-5080,33.92765,-118.28288,SB  Figueroa  FS  105 Freeway -SW,L.A. South Bay,East,CD-14,MOM L.A.
149,5081,LA-5082,33.8851,-118.28289,SB  Figueroa  FS  Alondra -SW,L.A. South Bay,East,CD-14,MOM L.A.
150,5092,LA-5093,33.73759,-118.29221,NB  Gaffey  NS  7th St. -SE,L.A. Valley East,West,CD-15,MOM L.A.
151,5094,LA-5095,33.76423,-118.29331,NB  Gaffey  FS  Westmont Dr. -NE,L.A. South Bay,South,CD-15,MOM L.A.
152,5107,LA-5108,33.7567,-118.28937,NB  John Gibson  FS  110 FWY/Driveway -NE,L.A. Valley East,South,CD-15,Sylvia's Bail Bonds
153,5109,LA-5110,33.79754,-118.29731,NB  Normandie  NS  Lomita -SE,L.A. Valley East,West,CD-15,MOM L.A.
154,5172,LA-5173,33.70945,-118.28802,SB  Pacific  FS  38th St. -SW,L.A. Valley East,East,CD-15,MOM L.A.
155,5178,LA-5179,33.738,-118.28794,SB  Pacific  NS  7th St. -NW,L.A. Valley East,North,CD-15,MOM L.A.
156,5220,LA-5221,33.72318,-118.31285,SB  Western Ave NS  25th -NW,L.A. Valley East,North,CD-15,MOM L.A.
157,5271,LA-5272,33.93142,-118.38386,WB Imperial Hwy  FS  Douglas -NW,L.A. South,North,CD-15,Togo's / Ashok Pattel
158,5279,LA-5280,34.2082,-118.6061,SB Topanga Canyon FS Saticoy -SW,L.A. Valley West,East,CD-15,Catalina Paints
159,5301,LA-5302,34.24965,-118.60621,SB Topanga Canyon FS Lassen-SW,L.A. Valley West,East,CD-15,Jeff Black
160,669,LA-0670,34.21155,-118.62343,NB  Fallbrook  NS  Ingomar -SE,L.A. Valley West,West,CD-03,Jerry Gooze
161,675,LA-0676,34.1694,-118.60568,WB  Fallbrook  NS  Oxnard -NE,L.A. Valley West,South,CD-03,Brandon Haft
162,694,LA-0695,34.15915,-118.63618,WB  Mulholland D  NS  23347 Blk -NE,L.A. Valley West,South,CD-03,Fred MyerTeam
163,773,LA-0774,34.19457,-118.53592,SB  Reseda Blvd FS  Vanowen -SW,L.A. Valley West,East,CD-03,MOM L.A.
164,785,LA-0786,34.22005,-118.5801,EB  Roscoe  NS  Mason -SW,L.A. Valley West,East,CD-03,MOM L.A.
165,1522,LA-1523,34.06869,-118.30905,NB  Western Ave NS  3rd Street -SE,L.A. South,West,CD-04,MOM L.A.
166,1529,LA-1530,34.07601,-118.30905,NB  Western Ave NS  Beverly -SE,L.A. South,West,CD-04,MOM L.A.
167,1555,LA-1556,34.0618,-118.31632,WB  Wilshire  NS  Norton -NE,L.A. South,South,CD-04,Chris Nam
168,1600,LA-1601,34.07597,-118.36605,EB  Beverly Dr  NS  Cresent Heights -SW,L.A. Central,East,CD-04,Canter's Resturant
169,1601,LA-1602,34.07623,-118.35511,EB  Beverly Dr  FS  Curson -SE,L.A. Central,West,CD-04,MOM L.A.
170,2355,LA-2356,34.25425,-118.43853,NB  Van Nuys Blvd FS  Arleta-NE,L.A. Valley East,South,CD-06,MOM L.A.
171,2368,LA-2369,34.2106,-118.44888,SB  Van Nuys Blvd NS  Keswick -NW,L.A. Valley West,North,CD-06,Catalina Paints
172,2371,LA-2372,34.23204,-118.45039,NB  Van Nuys Blvd FS  Osborne-NE,L.A. Valley West,South,CD-06,MOM L.A.
173,2399,LA-2400,34.18656,-118.45774,EB  Victory  NS  Kester -SW,L.A. Valley West,East,CD-06,MOM L.A.
174,3203,LA-3204,34.04754,-118.324,EB  Pico  NS  Norton -SW,L.A. South,East,CD-10,MOM L.A.
175,3210,LA-3211,34.0217,-118.36902,WB  Rodeo  NS  Clyde -NE,L.A. South,South,CD-10,Verdel Hubbard
176,3234,LA-3235,34.02952,-118.38765,EB  Venice FS  National Blvd-SE,L.A. South,West,CD-10,MOM L.A.
177,3236,LA-3237,34.02797,-118.3905,EB Venice NS  Robertson Blvd-SW,L.A. Central,East,CD-10,MOM L.A.
178,3258,LA-3259,34.03531,-118.3775,EB Venice  FS La Cienega -SE,L.A. South,West,CD-10,MOM L.A.
179,3262,LA-3263,34.04673,-118.33424,WB  Venice  FS  La Fayette -NW,L.A. South,North,CD-10,MOM L.A.
180,3279,LA-3280,34.05953,-118.29177,SB  Vermont  FS  7th St. -SW,L.A. Central,East,CD-10,MOM L.A.
181,3281,LA-3282,34.05802,-118.29171,SB  Vermont  NS  8th St. -NW,L.A. Central,North,CD-10,MOM L.A.
182,3285,LA-3286,34.04002,-118.32644,WB  Washington  NS  10th Ave -NE,L.A. South,South,CD-10,MOM L.A.
183,3289,LA-3290,34.03976,-118.31798,EB  Washington  NS  Arlington -SW,L.A. South,East,CD-10,MOM L.A.
184,4079,LA-4080,34.25755,-118.51512,EB  Devonshire  FS  Encino -SE,L.A. Valley West,West,CD-12,Collin Hicks
185,4091,LA-4092,34.2574,-118.49381,EB  Devonshire  NS  Hayvenhurst -SW,L.A. South,East,CD-12,MOM L.A.
186,4095,LA-4096,34.25739,-118.52764,WB  Devonshire  FS  Lindley -NW,L.A. Valley West,North,CD-12,MOM L.A.
187,4096,LA-4097,34.25739,-118.52764,WB  Devonshire  FS  Lindley -NW,L.A. Valley West,North,CD-12,Catalina Paints
188,4108,LA-4109,34.25717,-118.56028,EB  Devonshire  NS  Melvin -SW,L.A. Valley West,East,CD-12,ReMAX:OLSON
189,4904,LA-4905,34.08521,-118.17804,NB  Eastern  FS  Navarro -NE,L.A. East,South,CD-14,MOM L.A.
190,4937,LA-4938,34.06516,-118.22182,NB  Mission  NS  Valley -SE,L.A. East,West,CD-14,MOM L.A.
191,4940,LA-4941,34.06278,-118.21118,EB  Mission  NS  Zonal -SW,L.A. East,East,CD-14,MOM L.A.
192,4962,LA-4963,34.05011,-118.21512,SB  State  FS  Cesar Chavez -SW,L.A. East,East,CD-14,MOM L.A.
193,4981,LA-4982,34.02562,-118.19606,EB  Whittier  NS  Esperanza -SW,L.A. East,East,CD-14,MOM L.A.
194,5015,LA-5016,33.94339,-118.25439,WB  103rd St FS  Central -NW,L.A. South Bay,North,CD-14,MOM L.A.
195,5021,LA-5022,33.92386,-118.25477,WB  120th St FS  Central -NW,L.A. South Bay,North,CD-14,MOM L.A.
196,5030,LA-5031,33.74329,-118.3093,EB  1st  St FS  Western -SE,L.A. South Bay,West,CD-14,Holly Trinity School
197,5046,LA-5047,33.7802,-118.25734,EB  Anaheim  NN  Banning -SW,L.A. South Bay,East,CD-14,MOM L.A.
198,5052,LA-5053,33.77929,-118.27374,EB  Anaheim  FS  Wilmington -SE,L.A. South Bay,West,CD-14,Community Choice
199,5075,LA-5076,33.94295,-118.25407,NB  Central  NS  103rd St. -SE,L.A. South Bay,West,CD-14,Billboard Connect
200,5124,LA-5125,33.79146,-118.25635,EB Pacific Coast Hwy NS Eubank-SW,L.A. South Bay,East,CD-15,Art Gonzalez
201,5148,LA-5149,33.79067,-118.27453,WB  Pacific Coast Hwy NS Wilmington-NE,L.A. South Bay,South,CD-15,MOM L.A.
202,5158,LA-5159,33.72861,-118.28786,NB  Pacific  NS  17th St. -SE,L.A. Valley East,West,CD-15,MOM L.A.
203,5162,LA-5163,33.74308,-118.28801,SB  Pacific  FS  1st St. -SW,L.A. Valley East,East,CD-15,MOM L.A.
204,5166,LA-5167,33.7244,-118.28809,SB  Pacific  NS  22nd St. -NW,L.A. Valley East,North,CD-15,MOM L.A.
205,5217,LA-5218,33.80858,-118.3079,NB Western Ave NS 238th St-SE,L.A. Valley East,West,CD-15,MOM L.A.
206,671,LA-0672,34.16698,-118.62314,NB  Fallbrook  NS  Leonora -SE,L.A. Valley West,West,CD-03, 
207,672,LA-0673,34.17902,-118.57335,EB  Fallbrook  NS  Oxnard -SW,L.A. Valley West,East,CD-03,Brandon Haft
208,726,LA-0727,34.17937,-118.59798,EB  Oxnard  FS  Canoga -SE,L.A. Valley West,West,CD-03,MOM L.A.
209,727,LA-0728,34.17937,-118.59798,EB  Oxnard  FS  Canoga -SE,L.A. Valley West,West,CD-03,Warner Center Condominiums
210,728,LA-0729,34.17937,-118.59798,WB  Oxnard  NS  Canoga -NE,L.A. Valley West,South,CD-03,Warner Center Condominiums
211,1506,LA-1507,34.15807,-118.37022,NB  Vineland  FS  Camarillo -NE,L.A. Valley East,South,CD-04,MOM L.A.
212,1510,LA-1511,34.15205,-118.37014,NB  Vineland  NS  Riverside -SE,L.A. Valley East,West,CD-04,MOM L.A.
213,1511,LA-1512,34.15264,-118.37049,SB  Vineland  NS  Riverside -NW,L.A. Valley East,North,CD-04,Catalina Paints
