OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
19540,R1-1,R1,RESIDENTIAL,0.0066627239692798,2.29035343546182e-06
19541,R1-1,R1,RESIDENTIAL,0.0058304397789428,1.88210292389563e-06
19542,R1-1,R1,RESIDENTIAL,0.0055984630239251,1.78624611238996e-06
19543,R1-1,R1,RESIDENTIAL,0.0065901095515079,2.28110015723306e-06
19544,R1-1,R1,RESIDENTIAL,0.0067671426236512,2.37785989772924e-06
19545,R1-1,R1,RESIDENTIAL,0.0059272336225008,1.95321969063452e-06
19546,R1-1,R1,RESIDENTIAL,0.0057022786337095,1.84197295093413e-06
19547,R1-1,R1,RESIDENTIAL,0.0055788852367349,1.13993622855028e-06
19548,R1-1,R1,RESIDENTIAL,0.0057977581006247,1.18923390929852e-06
19549,R1-1,R1,RESIDENTIAL,0.0049371737389835,9.763951890324e-07
19550,R1-1,R1,RESIDENTIAL,0.0047326385368113,9.25827836082167e-07
19551,R1-1,R1,RESIDENTIAL,0.0070546221282146,5.06393222423209e-07
19552,R1-1,R1,RESIDENTIAL,0.005414417942759,9.50845465936315e-07
19553,R1-1,R1,RESIDENTIAL,0.0056309127366212,9.91234178087015e-07
19554,R1-1,R1,RESIDENTIAL,0.0047771498416758,8.14925338472501e-07
19555,R1-1,R1,RESIDENTIAL,0.0039243149544388,5.74113459205904e-07
19556,R1-1,R1,RESIDENTIAL,0.0062162061988389,1.89963886299844e-06
19557,R1-1,R1,RESIDENTIAL,0.0064573067750596,1.98184379103479e-06
19558,R1-1,R1,RESIDENTIAL,0.0055979843442266,1.62747212112271e-06
19559,R1-1,R1,RESIDENTIAL,0.0062389776910118,1.90129629835195e-06
19560,R1-1,R1,RESIDENTIAL,0.006460363144208,1.98349359092818e-06
19561,R1-1,R1,RESIDENTIAL,0.0055963228783612,1.62685932773849e-06
19562,R1-1,R1,RESIDENTIAL,0.003307683467618,6.70517226638437e-07
19563,R1-1,R1,RESIDENTIAL,0.0062036921086648,1.88508989249923e-06
19564,R1-1,R1,RESIDENTIAL,0.0064425405425184,1.96594532275975e-06
19565,R1-1,R1,RESIDENTIAL,0.0100387704696327,1.84727622334789e-06
