OBJECTID,Area_Acres,Park_ID,Address,Name,Park_Class,ACRES
78,0.90914951,866,4818 Klamath Place,El Sereno Senior Citizen Center,N,0.90914951
79,1.99159156,230,1811 Ripple St,Elysian Valley Recreation Center,N,1.99159156
80,0.92633121,158,4935 Balboa Blvd,Encino Community Center,N,0.92633121
81,5.26510503,157,16953 Ventura Blvd,Encino Park,N,5.26510503
82,0.53271106,714,1010 Everett Street,Everett Park,N,0.53271106
83,6.6563445,867,2839 E 4th Street,Evergreen Recreation Center,N,6.6563445
84,10.39269121,222,701 State Dr.,Exposition Park Rose Garden,C,10.39269121
85,0.37881526,655,7929 Melrose Ave,Fairfax Senior Citizen Center,N,0.37881526
86,1.16124866,344,9521 Tujunga Canyon Blvd,Fehlhaber-Houk Park,N,1.16124866
87,4.32347172,119,11338 Santa Monica Blvd,Felicia Mahood Multipurpose Center,N,4.32347172
88,9.25842388,174,8851 Laurel Canyon Blvd,Fernangeles Recreation Center,N,9.25842388
89,2.90282516,220,4700 Honduras St,Fred Roberts Recreation Center,N,2.90282516
90,0.63827135,214,7630 Towne Ave,Fremont High School Pool,N,0.63827135
91,0.75091686,250,2330 S Genesee Avenue,Genesee Avenue Park,N,0.75091686
92,14.62057944,217,429 E 42nd Place,Gilbert W. Lindsay Community Center,C,14.62057944
93,12.6876408,231,3650 Verdugo Rd,Glassell Park,C,12.6876408
94,4.82043253,142,4601 Alla Rd,Glen Alla Park,N,4.82043253
95,0.29159272,232,2932 Glenhurst Ave,Glenhurst Park,N,0.29159272
96,17.75559734,760,16730 Chatsworth St,Granada Hills Park,C,17.75559734
97,0.11946406,330,10726 Grape St.,Grape Street Pocket Park,N,0.11946406
98,0.59602106,715,3711 N Figueroa Street,Greayer's Oak Park,N,0.59602106
99,7.63554657,176,431 E 89th St,Green Meadows Recreation Center,N,7.63554657
100,1.22525701,283,5105 N Zoo Dr,Griffith Park Dog Park,N,1.22525701
101,11.06863222,177,24901 Frampton Ave.,Harbor City Park,C,11.06863222
102,1.60273414,252,890 S Lucerne Avenue,Harold A. Henry Park,N,1.60273414
103,0.06597303,347,6830 N Woodman Avenue,Hartland Mini-Park,N,0.06597303
104,12.87524427,384,1535 W 62nd Street,Jackie Tatum/Harvard Recreation Center,C,12.87524427
105,24.99132843,868,2230 Norfolk Street,Hazard Park,C,24.99132843
106,3.81234365,718,6152 N Figueroa Street,Highland Park Senior Citizen Center,N,3.81234365
107,0.48978951,298,HILLHURST AVE. BTWN. LOS FELIZ BLVD. & VERMONT AVE.,Hillhurst Parkway,N,0.48978951
108,18.30269337,869,415 S St Louis Street,Hollenbeck Park,C,18.30269337
109,8.51874321,179,601 Club View Dr,Holmby Park,N,8.51874321
110,0.20978881,215,817 W Gage Ave,Hoover-Gage Park,N,0.20978881
111,2.47854181,719,1010 W 25th Street,Hoover Recreation Center,N,2.47854181
