OBJECTID,Area_Acres,Park_ID,CD_Real,Address,Region,Name,Park_Class,CD_NEW,TOOLTIP,ACRES
41,1.54261219,758,12,22360 Devonshire St,V,Minnie Hill Palmer House / Homestead Acre,N,12,Name: Minnie Hill Palmer House / Homestead Acre\nLocation: 22360 Devonshire St,1.54261219
42,73.07320535,757,12,22360 Devonshire St,V,Chatsworth Park South,R,12,Name: Chatsworth Park South\nLocation: 22360 Devonshire St,73.07320535
43,1.89168171,367,08,1950 W 54th Street,P,Chesterfield Square Park,N,8,Name: Chesterfield Square Park\nLocation: 1950 W 54th Street,1.89168171
44,2.4370927,228,13,4165 Chevy Chase Dr,M,Chevy Chase Park,N,13,Name: Chevy Chase Park\nLocation: 4165 Chevy Chase Dr,2.4370927
45,0.17372971,368,08,76th at 5th Avenue,P,Circle Park (5th Ave.),N,8,Name: Circle Park (5th Ave.)\nLocation: 76th at 5th Avenue,0.17372971
46,0.17161064,369,08,1975 W 76th Street,P,Circle Park (Gramercy),N,8,Name: Circle Park (Gramercy)\nLocation: 1975 W 76th Street,0.17161064
47,1.7069232,212,09,200 N Spring St,M,City Hall Park,N,14,Name: City Hall Park\nLocation: 200 N Spring St,1.7069232
48,0.3975994,255,10,1762 S La Cienega Blvd,W,Claude Pepper Senior Citizen Center,N,10,Name: Claude Pepper Senior Citizen Center\nLocation: 1762 S La Cienega Blvd,0.3975994
49,0.92004715,858,14,4800 Cleland Avenue,M,Cleland Avenue Bicentennial Park,N,1,Name: Cleland Avenue Bicentennial Park\nLocation: 4800 Cleland Avenue,0.92004715
50,0.30143418,652,05,2890 Club Dr,W,Club Circle Park,N,5,Name: Club Circle Park\nLocation: 2890 Club Dr,0.30143418
51,1.99695063,508,03,7449 Melba Ave.,V,Cohasset-Melba Park,N,12,Name: Cohasset-Melba Park\nLocation: 7449 Melba Ave.,1.99695063
52,41.15682768,203,02,12601 Mulholland Dr,V,Coldwater Canyon Park,C,2,Name: Coldwater Canyon Park\nLocation: 12601 Mulholland Dr,41.15682768
53,3.45629972,870,14,3141 E Olympic Blvd,M,Hostetter Park,N,14,Name: Hostetter Park\nLocation: 3141 E Olympic Blvd,3.45629972
54,15.77999948,106,11,1000 Hanley Ave,W,Crestwood Hills Park,C,11,Name: Crestwood Hills Park\nLocation: 1000 Hanley Ave,15.77999948
55,3.26777211,145,11,5070 Slauson Ave,W,Culver-Slauson Park,N,11,Name: Culver-Slauson Park\nLocation: 5070 Slauson Ave,3.26777211
56,0.08803957,371,08,1287 W 38th Place,P,Rolland Curtis Park,N,8,Name: Rolland Curtis Park\nLocation: 1287 W 38th Place,0.08803957
57,3.48924233,703,01,2630 Pepper Avenue,M,Cypress Recreation Center,N,1,Name: Cypress Recreation Center\nLocation: 2630 Pepper Avenue,3.48924233
58,3.58801856,309,15,845 W. 12th St.,P,Ralph C. Daniels Field Sports Center,N,15,Name: Ralph C. Daniels Field Sports Center\nLocation: 845 W. 12th St.,3.58801856
59,1.37268939,279,04,1350 N Cherokee Ave,M,De Longpre Park,N,4,Name: De Longpre Park\nLocation: 1350 N Cherokee Ave,1.37268939
60,0.61006784,653,05,314 Beverly Glen Blvd,W,De Neve Square Park,N,5,Name: De Neve Square Park\nLocation: 314 Beverly Glen Blvd,0.61006784
61,9.11732002,171,12,17141 Nordhoff St,V,Dearborn Park,N,12,Name: Dearborn Park\nLocation: 17141 Nordhoff St,9.11732002
62,1.64487345,802,06,10145 Arminta St,V,De Garmo Park,N,2,Name: De Garmo Park\nLocation: 10145 Arminta St,1.64487345
