id,Geographic Area Name,County,City,City Clean,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,"Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL",Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Notes
7950000US0603745,"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California",Los Angeles County (Central),"LA City (Southeast/East Vernon) PUMA, California",Southeast/East Vernon,22883,1768,0,216,22883,1768,19321,1721,6874,1141,14932,1509,2658,857,6167,1108,
7950000US0603746,"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California",Los Angeles County,"LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California",Central/Univ. of Southern California & Exposition Park,24988,2077,0,216,24988,2077,23121,2048,6988,1381,17577,1604,1557,563,5896,1022,
7950000US0603747,"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California",Los Angeles County (Central),"LA City (Central/West Adams & Baldwin Hills) PUMA, California",Central/West Adams & Baldwin Hills,50096,2951,0,216,50096,2951,46626,2958,8121,1475,40264,2691,3898,847,12007,1987,
7950000US0603748,"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California",Los Angeles County,"LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California",LA (Southwest/Marina del Rey & Westchester) & Culver City Cities ,75864,3603,0,216,75864,3603,68744,3525,5033,1393,69273,3842,4175,1027,10877,1813,
7950000US0603749,"Los Angeles County (Central)--Inglewood City PUMA, California",Los Angeles County (Central),"Inglewood City PUMA, California",Inglewood City ,31512,1918,26,44,31486,1916,30296,1850,5939,1203,24213,2148,3001,794,4400,1203,
7950000US0603750,"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California",Los Angeles County (South Central),"LA City (South Central/Westmont) PUMA, California",South Central/Westmont,49481,3313,0,216,49481,3313,45024,3353,13654,2199,34825,3071,4614,1200,9560,1728,
7950000US0603751,"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California",Los Angeles County (South Central),"LA City (South Central/Watts) PUMA, California",South Central/Watts,35776,2126,66,78,35710,2121,31787,2143,9996,1466,25088,2018,3304,984,6668,1243,
7950000US0603752,"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California",Los Angeles County (South),"South Gate & Lynwood Cities PUMA, California",South Gate & Lynwood Cities ,31420,1796,167,173,31253,1816,22855,1696,5906,1156,24348,1843,5088,915,8715,1684,
7950000US0603753,"Los Angeles County (South)--Downey City PUMA, California",Los Angeles County (South),"Downey City PUMA, California",Downey City ,29689,1665,211,215,29478,1655,25259,1789,4153,1121,23909,1472,3259,672,1973,765,
7950000US0603754,"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California",Los Angeles County (Southeast),"La Mirada & Santa Fe Springs Cities PUMA, California",La Mirada & Santa Fe Springs Cities ,35786,2068,28,46,35758,2074,28747,2068,3431,823,31240,1918,2531,467,4235,1130,
7950000US0603755,"Los Angeles County (Southeast)--Norwalk City PUMA, California",Los Angeles County (Southeast),"Norwalk City PUMA, California",Norwalk City ,27688,1312,0,216,27688,1312,23412,1581,3304,948,23594,1381,3769,906,2279,671,
7950000US0603756,"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California",Los Angeles County (Southeast),"Bellflower & Paramount Cities PUMA, California",Bellflower & Paramount Cities ,27720,1955,0,216,27720,1955,23335,1724,3298,710,23129,1880,10700,1472,6848,1252,
7950000US0603757,"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California",Los Angeles County (South Central),"Compton City & West Rancho Dominguez PUMA, California",Compton City & West Rancho Dominguez ,31219,2273,66,81,31153,2276,26952,2071,6072,1157,23238,1987,7816,1428,5923,1110,
